,description,category,amount,time,source,title,amount_without_iof,account,id,tokenized,href,details.status,details.subcategory,_links.self.href,details.tags,details.charges.count,details.charges.amount,details.lat,details.lon,details.fx.currency_origin,details.fx.amount_origin,details.fx.amount_usd,details.fx.precise_amount_origin,details.fx.precise_amount_usd,details.fx.exchange_rate
224,Amazon.Com.Br,transaction,9093,2021-03-28T14:48:04Z,upfront_national,eletrônicos,9093.0,59ea3883-de78-4530-af24-91c5eb9a0bed,60609725-36b0-4e10-8693-2aef73b54024,False,nuapp://transaction/60609725-36b0-4e10-8693-2aef73b54024,settled,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/60609725-36b0-4e10-8693-2aef73b54024,,,,-23.6955787,-46.8321036,,,,,,
225,Netflix.Com,transaction,3290,2021-03-28T09:14:31Z,upfront_national,serviços,3290.0,59ea3883-de78-4530-af24-91c5eb9a0bed,606048f9-2c6c-4f16-8072-78a854a92352,True,nuapp://transaction/606048f9-2c6c-4f16-8072-78a854a92352,settled,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/606048f9-2c6c-4f16-8072-78a854a92352,,,,-23.6955785,-46.8321037,,,,,,
226,Educacao Sup*Superprof,transaction,6900,2021-03-24T10:53:56Z,upfront_national,educação,6900.0,59ea3883-de78-4530-af24-91c5eb9a0bed,605b1a45-2b82-4548-907e-977e1ed0020a,False,nuapp://transaction/605b1a45-2b82-4548-907e-977e1ed0020a,settled,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/605b1a45-2b82-4548-907e-977e1ed0020a,,,,,,,,,,,
227,Amazon-Marketplace,transaction,4991,2021-03-23T11:08:14Z,upfront_national,eletrônicos,4991.0,59ea3883-de78-4530-af24-91c5eb9a0bed,6059cc1f-03c1-4fa5-8c38-9fb359318629,False,nuapp://transaction/6059cc1f-03c1-4fa5-8c38-9fb359318629,settled,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/6059cc1f-03c1-4fa5-8c38-9fb359318629,,,,,,,,,,,
228,Microsoft Microsoft*Mi,transaction,2800,2021-03-22T02:24:04Z,upfront_national,serviços,2800.0,59ea3883-de78-4530-af24-91c5eb9a0bed,6057ffc4-64ae-43a4-bcdb-0306d16ec4e4,False,nuapp://transaction/6057ffc4-64ae-43a4-bcdb-0306d16ec4e4,settled,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/6057ffc4-64ae-43a4-bcdb-0306d16ec4e4,,,,-23.6956282,-46.8320913,,,,,,
229,Ecovias Santos,transaction,1300,2021-03-21T11:56:45Z,upfront_national,viagem,1300.0,59ea3883-de78-4530-af24-91c5eb9a0bed,6057347e-101f-4646-8912-a20c752a48eb,False,nuapp://transaction/6057347e-101f-4646-8912-a20c752a48eb,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/6057347e-101f-4646-8912-a20c752a48eb,,,,-23.8948522,-46.3021019,,,,,,
230,Editora O Globo Valor,transaction,1990,2021-03-09T01:01:35Z,upfront_national,outros,1990.0,59ea3883-de78-4530-af24-91c5eb9a0bed,6046c8ef-852b-40bb-86c3-7d99a48b2d82,False,nuapp://transaction/6046c8ef-852b-40bb-86c3-7d99a48b2d82,,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/6046c8ef-852b-40bb-86c3-7d99a48b2d82,,,,,,,,,,,
231,Raia,transaction,2699,2021-03-07T13:58:31Z,upfront_national,saúde,2699.0,59ea3883-de78-4530-af24-91c5eb9a0bed,6044dc08-b54f-48f2-85cd-87b6038edc82,False,nuapp://transaction/6044dc08-b54f-48f2-85cd-87b6038edc82,,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/6044dc08-b54f-48f2-85cd-87b6038edc82,,,,,,,,,,,
232,Claro Pgto Fatu Mensal,transaction,6299,2021-03-05T16:10:43Z,upfront_national,eletrônicos,6299.0,59ea3883-de78-4530-af24-91c5eb9a0bed,60425804-a1f1-471a-be8d-e6a362675605,False,nuapp://transaction/60425804-a1f1-471a-be8d-e6a362675605,,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/60425804-a1f1-471a-be8d-e6a362675605,,,,,,,,,,,
233,Amazon.Com.Br,transaction,2456,2021-02-28T23:32:14Z,upfront_national,eletrônicos,2456.0,59ea3883-de78-4530-af24-91c5eb9a0bed,603c27fe-58cd-457e-9ee0-66a87b314f83,False,nuapp://transaction/603c27fe-58cd-457e-9ee0-66a87b314f83,,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/603c27fe-58cd-457e-9ee0-66a87b314f83,,,,,,,,,,,
234,Amazonprimebr,transaction,990,2021-02-28T16:28:45Z,upfront_national,educação,990.0,59ea3883-de78-4530-af24-91c5eb9a0bed,603bc4bd-3fd5-425a-9f92-c5c5b968322a,False,nuapp://transaction/603bc4bd-3fd5-425a-9f92-c5c5b968322a,,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/603bc4bd-3fd5-425a-9f92-c5c5b968322a,,,,,,,,,,,
235,Netflix.Com,transaction,3290,2021-02-28T16:10:38Z,upfront_national,serviços,3290.0,59ea3883-de78-4530-af24-91c5eb9a0bed,603bc07f-5c11-4723-a18b-2b7bbf9ba3c6,True,nuapp://transaction/603bc07f-5c11-4723-a18b-2b7bbf9ba3c6,,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/603bc07f-5c11-4723-a18b-2b7bbf9ba3c6,,,,,,,,,,,
236,Superprof,transaction,6900,2021-02-22T21:13:05Z,upfront_national,serviços,6900.0,59ea3883-de78-4530-af24-91c5eb9a0bed,60341e62-1c56-44a0-88a4-6c2ef5435110,False,nuapp://transaction/60341e62-1c56-44a0-88a4-6c2ef5435110,,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/60341e62-1c56-44a0-88a4-6c2ef5435110,,,,,,,,,,,
237,Microsoft*Suz41agufsph,transaction,2400,2021-02-22T01:25:19Z,upfront_national,outros,2400.0,59ea3883-de78-4530-af24-91c5eb9a0bed,603307ff-8ed3-47b8-a82c-3cf332d6b3fc,False,nuapp://transaction/603307ff-8ed3-47b8-a82c-3cf332d6b3fc,,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/603307ff-8ed3-47b8-a82c-3cf332d6b3fc,,,,,,,,,,,
238,Pag*Farmaconde,transaction,3380,2021-02-20T20:55:34Z,upfront_national,saúde,3380.0,59ea3883-de78-4530-af24-91c5eb9a0bed,60317747-07c2-4332-bda8-6b0cb7fdfe65,False,nuapp://transaction/60317747-07c2-4332-bda8-6b0cb7fdfe65,,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/60317747-07c2-4332-bda8-6b0cb7fdfe65,,,,,,,,,,,
